"filename", "language", "Vue", "JavaScript", "Markdown", "HTML", "CSS", "JSON", "comment", "blank", "total"
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\README.md", "Markdown", 0, 0, 19, 0, 0, 0, 0, 6, 25
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\babel.config.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 1, 15
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\package-lock.json", "JSON", 0, 0, 0, 0, 0, 26635, 0, 1, 26636
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\package.json", "JSON", 0, 0, 0, 0, 0, 51, 0, 1, 52
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\public\index.html", "HTML", 0, 0, 0, 16, 0, 0, 1, 1, 18
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\App.vue", "Vue", 15, 0, 0, 0, 0, 0, 0, 4, 19
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\assets\css\base.css", "CSS", 0, 0, 0, 0, 153, 0, 3, 32, 188
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\common\utils.js", "JavaScript", 0, 34, 0, 0, 0, 0, 3, 4, 41
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\components\article\category\CategoryList.vue", "Vue", 86, 0, 0, 0, 0, 0, 2, 10, 98
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\components\article\post\ArticleItem.vue", "Vue", 80, 0, 0, 0, 0, 0, 1, 7, 88
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\components\article\post\ArticleList.vue", "Vue", 49, 0, 0, 0, 0, 0, 0, 8, 57
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\components\article\post\SearchBar.vue", "Vue", 76, 0, 0, 0, 0, 0, 0, 3, 79
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\components\article\widgets\BlogInfo.vue", "Vue", 19, 0, 0, 0, 0, 0, 0, 3, 22
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\components\article\widgets\index.vue", "Vue", 24, 0, 0, 0, 0, 0, 0, 5, 29
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\components\common\FooterBar.vue", "Vue", 19, 0, 0, 0, 0, 0, 0, 4, 23
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\components\common\NavBar.vue", "Vue", 64, 0, 0, 0, 0, 0, 0, 9, 73
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\components\detail\CommentPart.vue", "Vue", 65, 0, 0, 0, 0, 0, 0, 10, 75
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\components\detail\comment\CommentItem.vue", "Vue", 102, 0, 0, 0, 0, 0, 1, 13, 116
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\components\detail\comment\CommentList.vue", "Vue", 43, 0, 0, 0, 0, 0, 0, 5, 48
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\components\detail\comment\CommentPanel.vue", "Vue", 135, 0, 0, 0, 0, 0, 5, 7, 147
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\components\detail\markdown\MarkDown.vue", "Vue", 157, 0, 0, 0, 0, 0, 2, 19, 178
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\components\message\MessageItem.vue", "Vue", 87, 0, 0, 0, 0, 0, 0, 12, 99
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\components\message\MessageList.vue", "Vue", 66, 0, 0, 0, 0, 0, 0, 8, 74
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\components\message\MessagePanel.vue", "Vue", 92, 0, 0, 0, 0, 0, 2, 5, 99
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\main.js", "JavaScript", 0, 13, 0, 0, 0, 0, 2, 6, 21
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\network\article.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 6, 38
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\network\detail.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 5, 35
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\network\message.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 3, 20
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\network\request.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 4, 28
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\plugins\element.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 5, 47
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\plugins\markdown.js", "JavaScript", 0, 86, 0, 0, 0, 0, 11, 6, 103
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\router\index.js", "JavaScript", 0, 35, 0, 0, 0, 0, 1, 7, 43
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\views\Article.vue", "Vue", 102, 0, 0, 0, 0, 0, 3, 8, 113
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\views\Detail.vue", "Vue", 99, 0, 0, 0, 0, 0, 0, 9, 108
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\views\Home.vue", "Vue", 50, 0, 0, 0, 0, 0, 0, 7, 57
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\src\views\Message.vue", "Vue", 56, 0, 0, 0, 0, 0, 1, 6, 63
"f:\F_study_data\2-学习资料\大前端\5_项目\5_博客\myBlog\web\vue.config.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 1, 26
"Total", "-", 1486, 352, 19, 16, 153, 26686, 38, 251, 29001